announcement kuulutus
answer vastakaiku
approval hyväksyntä
argument kiista
argument perustelu
book kirja
call puhelu
character merkki
cry huuto
data tieto
dictionary sanakirja
discussion keskustelu
doubt epäily
examination tentti
example näyte
experience kokemus
expression ilme
feeling tunne
humor huumori
idea ajatus
information tieto
interest harrastus
interview haastattelu
issue asia
language kieli
language kieli
letter kirjain
letter kirje
lie valehtelu
magazine aikakauslehti
mail posti
memory muisto
memory muisti
mistake virhe
name nimi
newspaper sanomalehti
note muistiinpano
number luku
opinion mielipide
page sivu
point piste
pronunciation ääntäminen
protest protesti
reaction reaktio
reason järki
relation suhteet
secret salaisuus
sentence lause
shape muoto
sign merkki
speech kieli
spelling oikeinkirjoitus
standard kriteeri
subject aihe
voice ääni
word sana
writing kirjoitus
